Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1998,15560,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,1999,15133,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2000,14501,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2001,16387,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2002,18495,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2003,20291,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2004,24029,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2006,29249,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2007,30151,0,A,A,5
UNESCO:EDU_NON_FINANCE(3.0),STU,PER,L3,C5,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,W00,W00,_Z,AL,2008,29652,0,A,A,5
